    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1001      PL127*1400    3     S235JR         3200      10.1      4466.3
    1002      PL100*2500    4     S235JR         3100      12.3      4435.3
    1003      PL127*1400    1     S235JR         5200      11.2      4885.1
    1004      PL100*1000    4     S235JR         4500      10.1      3532.5
    1005      PL64*2500     8     S235JR         4400      18.8      4521.6
    1006      PL127*1000    4     S235JR         4500      10.4      4486.3
    1007      PL16*500      13    S235JR          500       0.5        31.4
    1008      PL16*400      23    S235JR          400       0.3        20.1
    1009      PL19*600      1     S235JR          600       0.8        53.7
    1010      PL16*270      2     S235JR          395       0.2        13.4
    1011      PL16*144      8     S235JR          398       0.1         7.2
    1012      PL16*270      1     S235JR          395       0.2        13.4
    1013      PL16*90       4     S235JR          421       0.1         4.7
    1014      PL64*2750     6     S235JR         4800      25.7      6219.7
    1015      PL64*2900     6     S235JR         4400      22.4      5405.8
    1016      PL100*2750    4     S235JR         3231      16.7      6107.1
    1017      PL100*2900    4     S235JR         3565      18.3      6723.1
    1018      PL76*218      24    S235JR         6000       3.6       780.4
    1019      PL38*218      16    S235JR         2900       1.5       188.6
    1022      PL32*400      4     S235JR         2497       2.2       249.3
    1023      PL32*400      3     S235JR         2585       2.2       258.2
    1024      PL25*400      16    S235JR         2586       2.2       201.9
    1025      PL25*400      16    S235JR         2585       2.2       201.2
    1026      PL50*250      24    S235JR         2800       1.7       274.7
    1027      PL64*2600     8     S235JR         4800      24.3      5888.1
    1028      PL64*218      16    S235JR         6000       3.4       657.1
    1029      PL64*218      16    S235JR         5400       3.1       591.4
    1030      PL6*90        1     S235JR          421       0.1         1.8
    1032      PL6*134       3     S235JR          139       0.0         0.8
    1038      PL6*185       9     S235JR          421       0.1         2.6
    1039      PL6*239       7     S235JR          398       0.2         3.5
    1040      PL25*250      24    S235JR         3120       1.7       153.1
    1041      PL25*250      56    S235JR         2670       1.5       131.0
    1042      PL25*218      112   S235JR          348       0.2        14.9
    1043      PL38*350      16    S235JR         2940       2.3       307.0
    1044      PL38*390      8     S235JR         1980       1.4       189.0
    1045      PL38*390      8     S235JR         2420       1.8       231.0
    1046      PL38*390      8     S235JR          760       0.7        88.4
    1047      PL10*700      2     S235JR          700       1.0        38.5
    1048      PL19*450      28    S235JR         1459       0.8        51.0
    1049      PL10*100      44    S235JR          360       0.1         2.8
    1050      PL6*110       17    S235JR          190       0.0         1.0
    1051      PL10*110      10    S235JR          190       0.0         1.6
    1052      PL19*358      8     S235JR         1876       1.1        72.6
    1053      PL10*110      35    S235JR          315       0.1         2.7
    1055      PL6*105       19    S235JR          120       0.0         0.6
    1057      PL6*90        21    S235JR          421       0.1         1.8
    1060      PL6*249       35    S235JR          398       0.1         3.3
    1061      PL6*140       29    S235JR          398       0.1         2.6
    1062      PL16*440      12    S235JR         6000       5.5       331.6
    1063      PL16*440      4     S235JR         5000       4.6       276.3
    1064      PL6*140       69    S235JR          290       0.1         1.9
    1066      PL4*165       11    S235JR          398       0.1         1.1
    1068      PL10*90       29    S235JR          360       0.1         2.5
    1070      PL6*239       8     S235JR          398       0.2         3.5
    1074      PL10*120      14    S235JR          780       0.2         7.3
    1076      PL6*60        9     S235JR          116       0.0         0.3
    1077      PL10*90       15    S235JR          360       0.1         2.5
    1082      PL12*1400     3     S235JR         3200       9.1       422.0
    1083      PL12*1400     1     S235JR         5200       9.9       461.6
    1084      PL12*1000     8     S235JR         4500       9.1       423.9
    1085      PL6*254       24    S235JR          398       0.2         3.7
    1088      PL19*600      43    S235JR          300       0.4        26.8
    1091      PL10*249      1     S235JR          398       0.2         5.5
    1092      PL19*600      1     S235JR          300       0.4        26.8
    1093      PL6*239       3     S235JR          396       0.2         3.8
    1094      PL540*10      3     S235JR          475       0.5        20.8
    1097      PL6*152       4     S235JR          220       0.1         1.4
    1098      PL19*363      14    S235JR         1359       0.7        45.5
    1099      PL10*100      1     S235JR          360       0.1         2.8
    1100      PL19*952      2     S235JR         1719       1.3        90.2
    1102      PL10*90       1     S235JR          140       0.0         1.0
    1103      PL19*250      12    S235JR          610       0.3        22.7
    1104      PL19*70       24    S235JR          610       0.1         6.4
    1105      PL6*350       12    S235JR          160       0.1         2.6
    1106      PL19*192      4     S235JR         1320       0.6        37.7
    1107      PL19*191      4     S235JR          700       0.3        19.9
