    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 08.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    Hormi***  950*600       1     Conc***        7582      24.6     10371.8
    Hormi***  950*600       1     Conc***       13219      42.1     18083.1
    Hormi***  1500*1000     2     Conc***       55800     282.0    200880.0
    Hormi***  1500*600      1     Conc***       55600     235.3    120096.0
    Hormi***  1500*600      1     Conc***       19800      85.0     42768.0
    Hormi***  1500*600      1     Conc***       36600     155.5     79056.0
    Hormi***  1500*1000     1     Conc***       13210      69.0     47554.5
    Hormi***  1500*500      2     Conc***       10700      44.3     19260.0
    Hormi***  1500*1000     1     Conc***       13205      69.0     47539.8
    Hormi***  1500*1000     1     Conc***       13061      68.3     47018.8
    Hormi***  950*800       2     Conc***       25500      90.8     46512.0
    Hormi***  1500*800      2     Conc***       25500     119.7     73440.0
    Hormi***  950*800       2     Conc***        8073      29.8     14725.4
    Hormi***  950*800       1     Conc***        9359      34.3     17070.9
    Hormi***  950*800       1     Conc***        8123      29.9     14815.6
    Hormi***  950*800       1     Conc***        8117      29.9     14804.9
    Hormi***  950*800       1     Conc***        9266      33.9     16900.5
    Hormi***  1500*500      2     Conc***       10900      45.1     19620.0
    Hormi***  1500*800      1     Conc***        8627      42.1     24847.1
    Hormi***  1500*800      1     Conc***        8677      42.3     24989.5
    Hormi***  1500*800      1     Conc***        8197      40.1     23608.3
    Hormi***  1500*200      1     Conc***       27692      94.8     19938.1
    Hormi***  1500*150      1     Conc***       22206      73.7     11991.4
    Hormi***  1500*1000     2     Conc***        5400      30.0     19440.0
    Hormi***  1500*1000     2     Conc***        7416      40.1     26696.8
    Hormi***  1500*200      1     Conc***       27392      93.7     19722.1
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    b/422     IPE270        5     S235JR         3800       4.0       136.9
    b/423     IPE270        1     S235JR         3685       3.8       132.8
    b/424     IPE400        1     S235JR         8935      13.1       592.7
    b/426     IPE400        1     S235JR         3627       5.3       240.6
    b/444     HEA400        2     S235JR         3576       6.8       446.3
    b/445     HEA400        1     S235JR         5887      11.3       734.8
    b/447     HEA400        1     S235JR         5886      11.3       734.7
    b/448     IPE330        4     S235JR         8940      11.2       439.3
    b/693     IPE400        1     S235JR         1717       2.5       113.9
    b/694     IPE400        1     S235JR         6724       9.9       446.0
    b/695     IPE400        2     S235JR         5937       8.7       393.8
    b/699     HEA400        1     S235JR         3472       6.6       433.3
    b/1177    IPE400        2     S235JR         3573       5.2       237.0
    b/1178    IPE400        1     S235JR         3685       5.4       244.4
    b/1179    IPE400        1     S235JR         8835      13.0       586.0
    b/1190    IPE400        1     S235JR         3735       5.5       247.8
    b/1232    IPE400        1     S235JR         3684       5.4       244.3
    b/1268    IPE330        1     S235JR         8834      11.1       434.1
    b/1281    IPE330        1     S235JR         8939      11.2       439.3
    b/1282    IPE330        1     S235JR         8938      11.2       439.2
    b/1284    IPE270        1     S235JR         3800       4.0       136.9
    b/1285    HEA400        2     S235JR         2000       3.8       249.6
    b/1290    IPE270        3     S235JR         3800       4.0       136.9
    b/1291    IPE270        1     S235JR         3684       3.8       132.8
    b/1313    HEA400        1     S235JR         3462       6.6       432.1
    b/1314    IPE400        1     S235JR         2737       4.0       181.6
    b/1315    IPE400        1     S235JR         2827       4.1       187.5
    b/1328    IPE400        1     S235JR         8437      12.4       559.7
    b/1329    HEA400        1     S235JR         8787      16.8      1096.7
    b/1330    HEA400        1     S235JR         7768      14.9       969.6
    b/1334    HEA400        1     S235JR          981       1.9       122.4
    b/1335    IPE400        1     S235JR         6806      10.0       451.5
    b/1345    IPE400        1     S235JR         3814       5.6       253.0
    c/12      Ø305*10       18    S235JR         9050       8.7       654.2
    c/13      Ø406*12       1     S235JR         8085      10.3       937.9
    c/14      Ø406*12       2     S235JR         7700       9.8       893.3
    c/42      Ø305*10       1     S235JR         8940       8.6       646.2
    c/43      Ø406*12       2     S235JR         4125       5.3       478.5
    c/45      Ø305*10       2     S235JR         7700       7.4       556.6
    c/46      Ø305*10       1     S235JR         8075       7.7       583.7
    c/47      Ø406*12       1     S235JR         8084      10.3       937.8
    c/48      Ø305*10       3     S235JR         7600       7.3       549.4
    c/49      Ø305*10       2     S235JR         8125       7.8       587.3
    --------------------------------------------------------------------------
                           Total for  130  members:     20491.5  10840082.7
    --------------------------------------------------------------------------
