    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 15.05.2026
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    b/548     IPE240        1     S235JR         1775       1.6        54.5
    b/734     []200*100*4   1     S235JR         3475       2.1        63.7
    b/735     IPE330        2     S235JR         7756       9.7       381.1
    b/736     IPE330        2     S235JR         8142      10.2       400.1
    b/737     IPE330        3     S235JR         1034       1.3        50.8
    b/738     IPE330        3     S235JR         1057       1.3        51.9
    b/739     IPE330        2     S235JR         1717       2.2        84.4
    b/740     IPE330        4     S235JR         1129       1.4        55.5
    b/741     IPE330        4     S235JR         1632       2.0        80.2
    b/742     IPE330        4     S235JR         7923       9.9       389.3
    b/743     IPE330        1     S235JR         9078      11.4       446.1
    b/744     IPE330        1     S235JR         7940      10.0       390.2
    b/745     IPE330        2     S235JR         1736       2.2        85.3
    b/746     IPE330        2     S235JR         7930       9.9       389.7
    b/747     IPE330        3     S235JR         4173       5.2       205.0
    b/748     IPE330        2     S235JR         8200      10.3       403.0
    b/749     IPE330        1     S235JR          899       1.1        44.2
    b/750     IPE330        9     S235JR         1512       1.9        74.3
    b/751     IPE330        2     S235JR         7887       9.9       387.6
    b/752     IPE330        23    S235JR         8300      10.4       407.9
    b/753     IPE240        3     S235JR         3775       3.5       115.8
    b/754     IPE240        7     S235JR         5136       4.7       157.6
    b/755     IPE240        3     S235JR          323       0.3         9.9
    b/756     IPE330        4     S235JR          900       1.1        44.2
    b/757     IPE330        2     S235JR         8129      10.2       399.5
    b/758     IPE330        1     S235JR         4158       5.2       204.3
    b/759     IPE330        3     S235JR         1513       1.9        74.4
    b/760     IPE330        2     S235JR         1510       1.9        74.2
    b/761     IPE240        7     S235JR         4879       4.5       149.7
    b/762     IPE240        2     S235JR          325       0.3        10.0
    b/763     IPE240        1     S235JR          337       0.3        10.3
    b/764     IPE330        2     S235JR         8115      10.2       398.8
    b/765     IPE330        1     S235JR         1040       1.3        51.1
    b/766     IPE330        5     S235JR         9058      11.4       445.1
    b/767     IPE330        2     S235JR         8914      11.2       438.1
    b/768     IPE330        4     S235JR         7927       9.9       389.5
    b/769     IPE330        1     S235JR         7773       9.7       382.0
    b/770     IPE330        1     S235JR         7925       9.9       389.4
    b/771     IPE330        1     S235JR         1053       1.3        51.8
    b/772     IPE330        1     S235JR         7920       9.9       389.2
    b/773     IPE240        5     S235JR         3787       3.5       116.2
    b/774     IPE240        3     S235JR         3474       3.2       106.6
    b/775     IPE240        2     S235JR         1980       1.8        60.8
    b/776     IPE330        1     S235JR         7753       9.7       381.0
    b/777     IPE330        1     S235JR         7905       9.9       388.5
    b/778     IPE330        1     S235JR         8320      10.4       408.8
    b/779     IPE330        5     S235JR          901       1.1        44.3
    b/780     IPE240        1     S235JR         4887       4.5       150.0
    b/781     IPE240        1     S235JR          575       0.5        17.6
    b/782     IPE240        1     S235JR          537       0.5        16.5
                           Total for  146  members:      267.8   10320.0
    --------------------------------------------------------------------------
